key;type;character;meaning;image;onyomi;kunyomi;important_reading;kana;level
k_上;kanji;上;above, up, over;;じょう;うえ, あ, のぼ, うわ, かみ;onyomi;;1
k_月;kanji;月;moon, month;;げつ, がつ;つき;onyomi;;2
k_堪;kanji;堪;endure;;かん, たん;こら, こた, た;kunyomi;;59
k_色;kanji;色;color;;しき, しょく;いろ;kunyomi;;5
k_口;kanji;口;mouth;;こう, く;くち;onyomi;;1
k_体;kanji;体;body;;たい;からだ;onyomi;;5
k_甚;kanji;甚;very, great;;じん;はなは;onyomi;;59
k_図;kanji;図;diagram;;ず, と;え, はか;onyomi;;5
k_閑;kanji;閑;leisure;;かん;;onyomi;;59
k_裕;kanji;裕;abundant, plentiful;;ゆう;;onyomi;;20
k_侮;kanji;侮;despise;;ぶ;あなず, あなど;onyomi;;59
k_後;kanji;後;behind, after, back, later;;ご, こう;うし, あと, のち;onyomi;;6
k_者;kanji;者;someone, somebody;;しゃ;もの;onyomi;;8
k_研;kanji;研;sharpen;;けん;と;onyomi;;8
k_電;kanji;電;electricity;;でん;;onyomi;;8
k_禍;kanji;禍;evil, misfortune;;か;わざわい;onyomi;;59
k_沙;kanji;沙;sand;;さ, しゃ;すな, よなげる;onyomi;;59
k_受;kanji;受;accept, receive;;じゅ;う;onyomi;;9
k_匿;kanji;匿;hide;;とく;かくま;onyomi;;60
k_和;kanji;和;peace, japanese style;;わ, お;なご, やわ;onyomi;;9
k_速;kanji;速;fast;;そく;はや;onyomi;;10
k_畔;kanji;畔;shore;;はん;あぜ, くろ, ほとり;onyomi;;60
k_頭;kanji;頭;head;;ず, とう;あたま;kunyomi;;10
k_謹;kanji;謹;humble, discreet;;きん;つつし;onyomi;;60
k_病;kanji;病;sick, sickness, ill, illness;;びょう;や, やまい;onyomi;;10
k_伝;kanji;伝;transmit, tell;;でん;つた, つて;onyomi;;11
k_好;kanji;好;like;;こう;す, この;onyomi;;11
k_低;kanji;低;low;;てい;ひく;onyomi;;11
k_醜;kanji;醜;ugly;;しゅう;しこ, みにく;onyomi;;60
k_洋;kanji;洋;western style, ocean;;よう;;onyomi;;11
k_級;kanji;級;level, grade, rank;;きゅう;;onyomi;;11
k_泌;kanji;泌;secrete;;ひ, ひつ;;onyomi;;60
k_森;kanji;森;forest, woods;;しん;もり;kunyomi;;8
k_戦;kanji;戦;war, battle;;せん;たたか;onyomi;;11
k_漸;kanji;漸;gradually, steadily;;ぜん;ようや, やや;kunyomi;;60
k_競;kanji;競;compete;;きょう, けい;きそ;onyomi;;11
k_良;kanji;良;good;;りょう;よ, い;onyomi;;11
k_便;kanji;便;convenience, convenient;;べん, びん;たよ;onyomi;;11
k_働;kanji;働;work;;どう;はたら;onyomi;;11
k_意;kanji;意;idea;;い;;onyomi;;11
k_勉;kanji;勉;exertion;;べん;;onyomi;;12
k_労;kanji;労;labor;;ろう;いたわ;onyomi;;11
k_妄;kanji;妄;reckless;;もう, ぼう;みだ;onyomi;;60
k_消;kanji;消;extinguish;;しょう;き, け;onyomi;;12
k_親;kanji;親;parent;;しん;おや, した;onyomi;;10
k_倍;kanji;倍;double, times, multiply;;ばい;;onyomi;;12
k_追;kanji;追;follow, chase;;つい;お;kunyomi;;11
k_息;kanji;息;breath;;そく;いき;onyomi;;12
k_員;kanji;員;member;;いん;;onyomi;;12
k_章;kanji;章;chapter;;しょう;;onyomi;;12
k_敗;kanji;敗;failure, fail;;はい;やぶ;onyomi;;17
k_調;kanji;調;investigate, tone;;ちょう;しら;onyomi;;10
k_深;kanji;深;deep;;しん;ふか;onyomi;;12
k_歯;kanji;歯;tooth, teeth;;し;は;kunyomi;;12
k_島;kanji;島;island;;とう;しま;kunyomi;;12
k_祭;kanji;祭;festival;;さい;まつり, まつ;onyomi;;12
k_球;kanji;球;sphere, ball;;きゅう;たま;onyomi;;12
k_寒;kanji;寒;cold;;かん;さむ;kunyomi;;12
k_可;kanji;可;possible, passable;;か;;onyomi;;18
k_神;kanji;神;god;;しん;かみ;onyomi;;11
k_風;kanji;風;wind, style;;ふう, ふ;かぜ;onyomi;;7
k_胸;kanji;胸;chest, breast;;きょう;むね;kunyomi;;18
k_庭;kanji;庭;garden;;てい;にわ;onyomi;;12
k_旅;kanji;旅;trip, travel;;りょ;たび;onyomi;;12
k_共;kanji;共;together;;きょう;とも;onyomi;;11
k_昨;kanji;昨;previous, yesterday;;さく;;onyomi;;15
k_波;kanji;波;wave;;は;なみ;onyomi;;11
k_感;kanji;感;feeling;;かん;;onyomi;;13
k_課;kanji;課;section;;か;;onyomi;;13
k_験;kanji;験;test;;けん;ため, ためし;onyomi;;9
k_都;kanji;都;metropolis;;と, つ;みやこ;onyomi;;12
k_期;kanji;期;period of time, time period;;き;;onyomi;;12
k_協;kanji;協;cooperation;;きょう;;onyomi;;14
k_横;kanji;横;side, horizontal;;おう;よこ;kunyomi;;10
k_成;kanji;成;become;;せい;な;onyomi;;11
k_初;kanji;初;first;;しょ;はじ, はつ, そ, ぞ;onyomi;;11
k_植;kanji;植;plant;;しょく;う;onyomi;;12
k_港;kanji;港;harbor, port, harbour;;こう;みなと;onyomi;;12
k_是;kanji;是;absolutely;;ぜ;;onyomi;;17
k_僧;kanji;僧;priest, monk;;そう;;onyomi;;18
k_暑;kanji;暑;hot, hot weather;;しょ;あつ;kunyomi;;12
k_着;kanji;着;wear, arrive;;ちゃく;き, つ;onyomi;;12
k_拾;kanji;拾;pick up;;しゅう;ひろ;kunyomi;;11
k_特;kanji;特;special;;とく;;onyomi;;11
k_悪;kanji;悪;bad, evil;;あく, お;わる;onyomi;;12
k_面;kanji;面;face, surface;;めん;おも, おもて;onyomi;;16
k_暴;kanji;暴;violence;;ぼう;あば, ばく;onyomi;;19
k_別;kanji;別;separate;;べつ;わか;onyomi;;11
k_生;kanji;生;life;;せい, しょう;い, なま, う, は, き;onyomi;;3
k_々;kanji;々;repeater, repetition, reduplication, iteration mark;;;のま;kunyomi;;2
k_問;kanji;問;problem;;もん;と, とん;onyomi;;13
k_想;kanji;想;concept;;そう;;onyomi;;13
k_続;kanji;続;continue;;ぞく;つづ;onyomi;;19
k_困;kanji;困;distressed, troubled;;こん;こま;onyomi;;20
k_合;kanji;合;suit, fit, join;;ごう, がっ;あ, あい;onyomi;;12
k_様;kanji;様;formal name title, formal name ender, manner;;よう;さま;kunyomi;;13
k_詩;kanji;詩;poem;;し;うた;onyomi;;13
k_育;kanji;育;nurture, raise;;いく;そだ, はぐく;onyomi;;11
k_億;kanji;億;hundred million;;おく;;onyomi;;13
k_器;kanji;器;container, vessel;;き;うつわ;onyomi;;13
